SN	NW	WORD	word_len
23	1	Weiss	5
23	2	and	3
23	3	Speck	5
23	4	never	5
23	5	make	4
23	6	a	1
23	7	convincing	10
23	8	case	4
23	9	for	3
23	10	the	3
23	11	relevance	9
23	12	of	2
23	13	these	5
23	14	two	3
23	15	20th-century	12
23	16	footnotes.	10
24	1	Another	7
24	2	Best	4
24	3	of	2
24	4	the	3
24	5	Year	4
24	6	selection.	10
25	1	It's	4
25	2	all	3
25	3	a	1
25	4	rather	6
25	5	shapeless	9
25	6	good	4
25	7	time...	7
26	1	Same	4
26	2	song,	5
26	3	second	6
26	4	verse,	6
26	5	coulda	6
26	6	been	4
26	7	better,	7
26	8	but	3
26	9	it	2
26	10	coulda	6
26	11	been	4
26	12	worse.	6
27	1	I	1
27	2	love	4
27	3	the	3
27	4	robust	6
27	5	middle	6
27	6	of	2
27	7	this	4
27	8	picture.	8
28	1	That's	6
28	2	not	3
28	3	vintage	7
28	4	Spielberg	9
28	5	and	3
28	6	that,	5
28	7	finally,	8
28	8	is	2
28	9	minimally	9
28	10	satisfying.	11
29	1	The	3
29	2	soundtrack	10
29	3	alone	5
29	4	is	2
29	5	worth	5
29	6	the	3
29	7	price	5
29	8	of	2
29	9	admission.	10
30	1	Mostly	6
30	2	Martha	6
30	3	could	5
30	4	have	4
30	5	used	4
30	6	a	1
30	7	little	6
30	8	trimming	8
30	9	--	2
30	10	10	2
30	11	or	2
30	12	15	2
30	13	minutes	7
30	14	could	5
30	15	be	2
30	16	cut	3
30	17	and	3
30	18	no	2
30	19	one	3
30	20	would	5
30	21	notice	6
30	22	--	2
30	23	but	3
30	24	it's	4
30	25	a	1
30	26	pleasurable	11
30	27	trifle.	7
31	1	For	3
31	2	the	3
31	3	rest	4
31	4	of	2
31	5	us,	3
31	6	sitting	7
31	7	through	7
31	8	Dahmer's	8
31	9	two	3
31	10	hours	5
31	11	amounts	7
31	12	to	2
31	13	little	6
31	14	more	4
31	15	than	4
31	16	punishment.	11
32	1	Featuring	9
32	2	a	1
32	3	dangerously	11
32	4	seductive	9
32	5	performance	11
32	6	from	4
32	7	the	3
32	8	great	5
32	9	Daniel	6
32	10	Auteuil,	8
32	11	``Sade''	8
32	12	covers	6
32	13	the	3
32	14	same	4
32	15	period	6
32	16	as	2
32	17	Kaufmann's	10
32	18	``Quills''	10
32	19	with	4
32	20	more	4
32	21	unsettlingly	12
32	22	realistic	9
32	23	results.	8
33	1	The	3
33	2	movie	5
33	3	is	2
33	4	for	3
33	5	fans	4
33	6	who	3
33	7	can't	5
33	8	stop	4
33	9	loving	6
33	10	anime,	6
33	11	and	3
33	12	the	3
33	13	fanatical	9
33	14	excess	6
33	15	built	5
33	16	into	4
33	17	it.	3
34	1	The	3
34	2	Ring	4
34	3	is	2
34	4	worth	5
34	5	a	1
34	6	look,	5
34	7	if	2
34	8	you	3
34	9	don't	5
34	10	demand	6
34	11	much	4
34	12	more	4
34	13	than	4
34	14	a	1
34	15	few	3
34	16	cheap	5
34	17	thrills	7
34	18	from	4
34	19	your	4
34	20	Halloween	9
34	21	entertainment.	14
35	1	Beautifully	11
35	2	observed,	9
35	3	miraculously	12
35	4	unsentimental	13
35	5	comedy-drama.	13
36	1	What	4
36	2	makes	5
36	3	How	3
36	4	I	1
36	5	Killed	6
36	6	My	2
36	7	Father	6
36	8	compelling,	11
36	9	besides	7
36	10	its	3
36	11	terrific	8
36	12	performances,	13
36	13	is	2
36	14	Fontaine's	10
36	15	willingness	11
36	16	to	2
36	17	wander	6
36	18	into	4
36	19	the	3
36	20	dark	4
36	21	areas	5
36	22	of	2
36	23	parent-child	12
36	24	relationships	13
36	25	without	7
36	26	flinching.	10
37	1	This	4
37	2	hastily	7
37	3	mounted	7
37	4	production	10
37	5	exists	6
37	6	only	4
37	7	to	2
37	8	capitalize	10
37	9	on	2
37	10	Hopkins'	8
37	11	inclination	11
37	12	to	2
37	13	play	4
37	14	Hannibal	8
37	15	Lecter	6
37	16	again,	6
37	17	even	4
37	18	though	6
37	19	Harris	6
37	20	has	3
37	21	no	2
37	22	immediate	9
37	23	inclination	11
37	24	to	2
37	25	provide	7
37	26	a	1
37	27	fourth	6
37	28	book.	5
38	1	Bullock's	9
38	2	complete	8
38	3	lack	4
38	4	of	2
38	5	focus	5
38	6	and	3
38	7	ability	7
38	8	quickly	7
38	9	derails	7
38	10	the	3
38	11	film.1	6
39	1	...	3
39	2	a	1
39	3	plotline	8
39	4	that's	6
39	5	as	2
39	6	lumpy	5
39	7	as	2
39	8	two-day	7
39	9	old	3
39	10	porridge...	11
39	11	the	3
39	12	filmmakers'	11
39	13	paws,	5
39	14	sad	3
39	15	to	2
39	16	say,	4
39	17	were	4
39	18	all	3
39	19	over	4
39	20	this	4
39	21	``un-bear-able''	16
39	22	project!	8
40	1	Crush	5
40	2	could	5
40	3	be	2
40	4	the	3
40	5	worst	5
40	6	film	4
40	7	a	1
40	8	man	3
40	9	has	3
40	10	made	4
40	11	about	5
40	12	women	5
40	13	since	5
40	14	Valley	6
40	15	of	2
40	16	the	3
40	17	Dolls.	6
41	1	Reassuring,	11
41	2	retro	5
41	3	uplifter.	9
42	1	Flaccid	7
42	2	drama	5
42	3	and	3
42	4	exasperatingly	14
42	5	slow	4
42	6	journey.	8
43	1	The	3
43	2	Movie	5
43	3	will	4
43	4	reach	5
43	5	far	3
43	6	beyond	6
43	7	its	3
43	8	core	4
43	9	demographic.	12
44	1	How	3
44	2	did	3
44	3	it	2
44	4	ever	4
44	5	get	3
44	6	made?	5
45	1	I	1
45	2	like	4
45	3	the	3
45	4	new	3
45	5	footage	7
45	6	and	3
45	7	still	5
45	8	love	4
45	9	the	3
45	10	old	3
45	11	stuff.	6
46	1	It	2
46	2	briefly	7
46	3	flirts	6
46	4	with	4
46	5	player	6
46	6	masochism,	10
46	7	but	3
46	8	the	3
46	9	point	5
46	10	of	2
46	11	real	4
46	12	interest	8
46	13	--	2
46	14	audience	8
46	15	sadism	6
46	16	--	2
46	17	is	2
46	18	evaded	6
46	19	completely.	11
47	1	Could	5
47	2	The	3
47	3	Country	7
47	4	Bears	5
47	5	really	6
47	6	be	2
47	7	as	2
47	8	bad	3
47	9	as	2
47	10	its	3
47	11	trailers?	9
48	1	At	2
48	2	times,	6
48	3	the	3
48	4	movie	5
48	5	looks	5
48	6	genuinely	9
48	7	pretty.	7
49	1	It	2
49	2	depends	7
49	3	on	2
49	4	how	3
49	5	well	4
49	6	flatulence	10
49	7	gags	4
49	8	fit	3
49	9	into	4
49	10	your	4
49	11	holiday	7
49	12	concept.	8
50	1	The	3
50	2	stupidest,	10
50	3	most	4
50	4	insulting	9
50	5	movie	5
50	6	of	2
50	7	2002's	6
50	8	first	5
50	9	quarter.	8
51	1	The	3
51	2	film	4
51	3	seems	5
51	4	a	1
51	5	dead	4
51	6	weight.	7
52	1	Sparkling,	10
52	2	often	5
52	3	hilarious	9
52	4	romantic	8
52	5	jealousy	8
52	6	comedy...	9
52	7	Attal	5
52	8	looks	5
52	9	so	2
52	10	much	4
52	11	like	4
52	12	a	1
52	13	young	5
52	14	Robert	6
52	15	DeNiro	6
52	16	that	4
52	17	it	2
52	18	seems	5
52	19	the	3
52	20	film	4
52	21	should	6
52	22	instead	7
52	23	be	2
52	24	called	6
52	25	`My	3
52	26	Husband	7
52	27	Is	2
52	28	Travis	6
52	29	Bickle'.	8
53	1	I	1
53	2	did	3
53	3	go	2
53	4	back	4
53	5	and	3
53	6	check	5
53	7	out	3
53	8	the	3
53	9	last	4
53	10	10	2
53	11	minutes,	8
53	12	but	3
53	13	these	5
53	14	were	4
53	15	more	4
53	16	repulsive	9
53	17	than	4
53	18	the	3
53	19	first	5
53	20	30	2
53	21	or	2
53	22	40	2
53	23	minutes.	8
54	1	A	1
54	2	lousy	5
54	3	movie	5
54	4	that's	6
54	5	not	3
54	6	merely	6
54	7	unwatchable,	12
54	8	but	3
54	9	also	4
54	10	unlistenable.	13
55	1	One	3
55	2	of	2
55	3	the	3
55	4	best	4
55	5	films	5
55	6	of	2
55	7	the	3
55	8	year	4
55	9	with	4
55	10	its	3
55	11	exploration	11
55	12	of	2
55	13	the	3
55	14	obstacles	9
55	15	to	2
55	16	happiness	9
55	17	faced	5
55	18	by	2
55	19	five	4
55	20	contemporary	12
55	21	individuals...	14
55	22	a	1
55	23	psychological	13
55	24	masterpiece.	12
56	1	A	1
56	2	strong	6
56	3	script,	7
56	4	powerful	8
56	5	direction	9
56	6	and	3
56	7	splendid	8
56	8	production	10
56	9	design	6
56	10	allows	6
56	11	us	2
56	12	to	2
56	13	be	2
56	14	transported	11
56	15	into	4
56	16	the	3
56	17	life	4
56	18	of	2
56	19	Wladyslaw	9
56	20	Szpilman,	9
56	21	who	3
56	22	is	2
56	23	not	3
56	24	only	4
56	25	a	1
56	26	pianist,	8
56	27	but	3
56	28	a	1
56	29	good	4
56	30	human	5
56	31	being.	6
57	1	But	3
57	2	here's	6
57	3	the	3
57	4	real	4
57	5	damn:	5
57	6	It	2
57	7	isn't	5
57	8	funny,	6
57	9	either.	7
58	1	Qutting	7
58	2	may	3
58	3	be	2
58	4	a	1
58	5	flawed	6
58	6	film,	5
58	7	but	3
58	8	it	2
58	9	is	2
58	10	nothing	7
58	11	if	2
58	12	not	3
58	13	sincere.	8
59	1	It's	4
59	2	a	1
59	3	fanboy	6
59	4	`what	5
59	5	if?'	4
60	1	...	3
60	2	something	9
60	3	appears	7
60	4	to	2
60	5	have	4
60	6	been	4
60	7	lost	4
60	8	in	2
60	9	the	3
60	10	translation	11
60	11	this	4
60	12	time.	5
61	1	Like	4
61	2	a	1
61	3	documentary	11
61	4	version	7
61	5	of	2
61	6	Fight	5
61	7	Club,	5
61	8	shorn	5
61	9	of	2
61	10	social	6
61	11	insight,	8
61	12	intellectual	12
61	13	pretension	10
61	14	and	3
61	15	cinematic	9
61	16	interest.	9
62	1	Stephen	7
62	2	Rea,	4
62	3	Aidan	5
62	4	Quinn,	6
62	5	and	3
62	6	Alan	4
62	7	Bates	5
62	8	play	4
62	9	Desmond's	9
62	10	legal	5
62	11	eagles,	7
62	12	and	3
62	13	when	4
62	14	joined	6
62	15	by	2
62	16	Brosnan,	8
62	17	the	3
62	18	sight	5
62	19	of	2
62	20	this	4
62	21	grandiloquent	13
62	22	quartet	7
62	23	lolling	7
62	24	in	2
62	25	pretty	6
62	26	Irish	5
62	27	settings	8
62	28	is	2
62	29	a	1
62	30	pleasant	8
62	31	enough	6
62	32	thing,	6
62	33	`tis.	5
63	1	It's	4
63	2	a	1
63	3	powerful	8
63	4	though	6
63	5	flawed	6
63	6	movie,	6
63	7	guaranteed	10
63	8	to	2
63	9	put	3
63	10	a	1
63	11	lump	4
63	12	in	2
63	13	your	4
63	14	throat	6
63	15	while	5
63	16	reaffirming	11
63	17	Washington	10
63	18	as	2
63	19	possibly	8
63	20	the	3
63	21	best	4
63	22	actor	5
63	23	working	7
63	24	in	2
63	25	movies	6
63	26	today.	6
64	1	An	2
64	2	intriguing	10
64	3	and	3
64	4	entertaining	12
64	5	introduction	12
64	6	to	2
64	7	Johnson.	8
65	1	Everything	10
65	2	was	3
65	3	as	2
65	4	superficial	11
65	5	as	2
65	6	the	3
65	7	forced	6
65	8	New	3
65	9	Jersey	6
65	10	lowbrow	7
65	11	accent	6
65	12	Uma	3
65	13	had.	4
66	1	Despite	7
66	2	the	3
66	3	holes	5
66	4	in	2
66	5	the	3
66	6	story	5
66	7	and	3
66	8	the	3
66	9	somewhat	8
66	10	predictable	11
66	11	plot,	5
66	12	moments	7
66	13	of	2
66	14	the	3
66	15	movie	5
66	16	caused	6
66	17	me	2
66	18	to	2
66	19	jump	4
66	20	in	2
66	21	my	2
66	22	chair...	8
67	1	`How	4
67	2	many	4
67	3	more	4
67	4	voyages	7
67	5	can	3
67	6	this	4
67	7	limping	7
67	8	but	3
67	9	dearly-loved	12
67	10	franchise	9
67	11	survive?'	9
68	1	If	2
68	2	only	4
68	3	the	3
68	4	story	5
68	5	about	5
68	6	a	1
68	7	multi-million	13
68	8	dollar	6
68	9	con	3
68	10	bothered	8
68	11	to	2
68	12	include	7
68	13	the	3
68	14	con.	4
69	1	It	2
69	2	is	2
69	3	supremely	9
69	4	unfunny	7
69	5	and	3
69	6	unentertaining	14
69	7	to	2
69	8	watch	5
69	9	middle-age	10
69	10	and	3
69	11	older	5
69	12	men	3
69	13	drink	5
69	14	to	2
69	15	excess,	7
69	16	piss	4
69	17	on	2
69	18	trees,	6
69	19	b.s.	4
69	20	one	3
69	21	another	7
69	22	and	3
69	23	put	3
69	24	on	2
69	25	a	1
69	26	show	4
69	27	in	2
69	28	drag.	5
70	1	Only	4
70	2	a	1
70	3	few	3
70	4	minutes	7
70	5	elapse	6
70	6	before	6
70	7	the	3
70	8	daddy	5
70	9	of	2
70	10	all	3
70	11	slashers	8
70	12	arrives,	8
70	13	still	5
70	14	with	4
70	15	the	3
70	16	boiler	6
70	17	suit	4
70	18	and	3
70	19	white	5
70	20	mask,	5
70	21	which	5
70	22	look	4
70	23	remarkably	10
70	24	clean	5
70	25	for	3
70	26	a	1
70	27	guy	3
70	28	who	3
70	29	has	3
70	30	been	4
70	31	mass-murdering	14
70	32	since	5
70	33	1978	4
70	34	but	3
70	35	has	3
70	36	never	5
70	37	been	4
70	38	seen	4
70	39	doing	5
70	40	laundry.	8
71	1	Showtime	8
71	2	is	2
71	3	one	3
71	4	of	2
71	5	the	3
71	6	hapless	7
71	7	victims	7
71	8	of	2
71	9	the	3
71	10	arrogant	8
71	11	``if	4
71	12	we	2
71	13	put	3
71	14	together	8
71	15	a	1
71	16	wry	3
71	17	white	5
71	18	man	3
71	19	and	3
71	20	a	1
71	21	chatty	6
71	22	black	5
71	23	man	3
71	24	and	3
71	25	give	4
71	26	them	4
71	27	guns,	5
71	28	the	3
71	29	movie	5
71	30	will	4
71	31	be	2
71	32	funny''	7
71	33	syndrome.	9
72	1	Whatever	8
72	2	heartwarming	12
72	3	scene	5
72	4	the	3
72	5	impressively	12
72	6	discreet	8
72	7	filmmakers	10
72	8	may	3
72	9	have	4
72	10	expected	8
72	11	to	2
72	12	record	6
72	13	with	4
72	14	their	5
72	15	mini	4
72	16	DV,	3
72	17	they	4
72	18	show	4
72	19	a	1
72	20	remarkable	10
72	21	ability	7
72	22	to	2
72	23	document	8
72	24	both	4
72	25	sides	5
72	26	of	2
72	27	this	4
72	28	emotional	9
72	29	car-wreck.	10
73	1	A	1
73	2	zombie	6
73	3	movie	5
73	4	in	2
73	5	every	5
73	6	sense	5
73	7	of	2
73	8	the	3
73	9	word	4
73	10	--	2
73	11	mindless,	9
73	12	lifeless,	9
73	13	meandering,	11
73	14	loud,	5
73	15	painful,	8
73	16	obnoxious.	10
74	1	It	2
74	2	has	3
74	3	fun	3
74	4	with	4
74	5	the	3
74	6	quirks	6
74	7	of	2
74	8	family	6
74	9	life,	5
74	10	but	3
74	11	it	2
74	12	also	4
74	13	treats	6
74	14	the	3
74	15	subject	7
74	16	with	4
74	17	fondness	8
74	18	and	3
74	19	respect.	8
75	1	Novak	5
75	2	manages	7
75	3	to	2
75	4	capture	7
75	5	a	1
75	6	cruelly	7
75	7	hilarious	9
75	8	vein	4
75	9	of	2
75	10	black	5
75	11	comedy	6
75	12	in	2
75	13	the	3
75	14	situation	9
75	15	with	4
75	16	his	3
75	17	cast	4
75	18	of	2
75	19	non-actors	10
75	20	and	3
75	21	a	1
75	22	gritty,	7
75	23	no-budget	9
75	24	approach.	9
76	1	Since	5
76	2	Lee	3
76	3	is	2
76	4	a	1
76	5	sentimentalist,	15
76	6	the	3
76	7	film	4
76	8	is	2
76	9	more	4
76	10	worshipful	10
76	11	than	4
76	12	your	4
76	13	random	6
76	14	E!	2
77	1	The	3
77	2	movie	5
77	3	is	2
77	4	almost	6
77	5	completely	10
77	6	lacking	7
77	7	in	2
77	8	suspense,	9
77	9	surprise	8
77	10	and	3
77	11	consistent	10
77	12	emotional	9
77	13	conviction.	11
78	1	High	4
78	2	Crimes	6
78	3	knows	5
78	4	the	3
78	5	mistakes	8
78	6	that	4
78	7	bad	3
78	8	movies	6
78	9	make	4
78	10	and	3
78	11	is	2
78	12	determined	10
78	13	not	3
78	14	to	2
78	15	make	4
78	16	them,	5
78	17	and	3
78	18	maybe	5
78	19	that	4
78	20	is	2
78	21	nobility	8
78	22	of	2
78	23	a	1
78	24	sort.	5
79	1	But	3
79	2	it's	4
79	3	too	3
79	4	long	4
79	5	and	3
79	6	too	3
79	7	convoluted	10
79	8	and	3
79	9	it	2
79	10	ends	4
79	11	in	2
79	12	a	1
79	13	muddle.	7
80	1	This	4
80	2	thing	5
80	3	works	5
80	4	on	2
80	5	no	2
80	6	level	5
80	7	whatsoever	10
80	8	for	3
80	9	me.	3
81	1	...	3
81	2	a	1
81	3	bland	5
81	4	murder-on-campus	16
81	5	yawner.	7
82	1	In	2
82	2	comparison	10
82	3	to	2
82	4	his	3
82	5	earlier	7
82	6	films	5
82	7	it	2
82	8	seems	5
82	9	a	1
82	10	disappointingly	15
82	11	thin	4
82	12	slice	5
82	13	of	2
82	14	lower-class	11
82	15	London	6
82	16	life;	5
82	17	despite	7
82	18	the	3
82	19	title...	8
82	20	amounts	7
82	21	to	2
82	22	surprisingly	12
82	23	little.	7
83	1	One	3
83	2	of	2
83	3	the	3
83	4	finest,	7
83	5	most	4
83	6	humane	6
83	7	and	3
83	8	important	9
83	9	Holocaust	9
83	10	movies	6
83	11	ever	4
83	12	made.	5
84	1	Suffers	7
84	2	from	4
84	3	rambling,	9
84	4	repetitive	10
84	5	dialogue	8
84	6	and	3
84	7	the	3
84	8	visual	6
84	9	drabness	8
84	10	endemic	7
84	11	to	2
84	12	digital	7
84	13	video.	6
85	1	The	3
85	2	twist	5
85	3	that	4
85	4	ends	4
85	5	the	3
85	6	movie	5
85	7	is	2
85	8	the	3
85	9	one	3
85	10	with	4
85	11	the	3
85	12	most	4
85	13	emotional	9
85	14	resonance,	10
85	15	but	3
85	16	twists	6
85	17	are	3
85	18	getting	7
85	19	irritating,	11
85	20	and	3
85	21	this	4
85	22	is	2
85	23	the	3
85	24	kind	4
85	25	of	2
85	26	material	8
85	27	where	5
85	28	the	3
85	29	filmmakers	10
85	30	should	6
85	31	be	2
85	32	very	4
85	33	careful	7
85	34	about	5
85	35	raising	7
85	36	eyebrows.	9
86	1	Angel	5
86	2	presents	8
86	3	events	6
86	4	partly	6
86	5	from	4
86	6	the	3
86	7	perspective	11
86	8	of	2
86	9	Aurelie	7
86	10	and	3
86	11	Christelle,	11
86	12	and	3
86	13	infuses	7
86	14	the	3
86	15	film	4
86	16	with	4
86	17	the	3
86	18	sensibility	11
86	19	of	2
86	20	a	1
86	21	particularly	12
86	22	nightmarish	11
86	23	fairytale.	10
87	1	Features	8
87	2	one	3
87	3	of	2
87	4	the	3
87	5	most	4
87	6	affecting	9
87	7	depictions	10
87	8	of	2
87	9	a	1
87	10	love	4
87	11	affair	6
87	12	ever	4
87	13	committed	9
87	14	to	2
87	15	film.	5
88	1	It	2
88	2	is	2
88	3	intensely	9
88	4	personal	8
88	5	and	3
88	6	yet	3
88	7	--	2
88	8	unlike	6
88	9	Quills	6
88	10	--	2
88	11	deftly	6
88	12	shows	5
88	13	us	2
88	14	the	3
88	15	temper	6
88	16	of	2
88	17	the	3
88	18	times.	6
89	1	Even	4
89	2	as	2
89	3	I	1
89	4	valiantly	9
89	5	struggled	9
89	6	to	2
89	7	remain	6
89	8	interested,	11
89	9	or	2
89	10	at	2
89	11	least	5
89	12	conscious,	10
89	13	I	1
89	14	could	5
89	15	feel	4
89	16	my	2
89	17	eyelids...	10
89	18	getting...	10
89	19	very...	7
89	20	heavy...	8
90	1	...	3
90	2	a	1
90	3	solid,	6
90	4	well-formed	11
90	5	satire.	7
91	1	Deserves	8
91	2	high	4
91	3	marks	5
91	4	for	3
91	5	political	9
91	6	courage	7
91	7	but	3
91	8	barely	6
91	9	gets	4
91	10	by	2
91	11	on	2
91	12	its	3
91	13	artistic	8
91	14	merits.	7
92	1	Read	4
92	2	My	2
92	3	Lips	4
92	4	is	2
92	5	to	2
92	6	be	2
92	7	viewed	6
92	8	and	3
92	9	treasured	9
92	10	for	3
92	11	its	3
92	12	extraordinary	13
92	13	intelligence	12
92	14	and	3
92	15	originality	11
92	16	as	2
92	17	well	4
92	18	as	2
92	19	its	3
92	20	lyrical	7
92	21	variations	10
92	22	on	2
92	23	the	3
92	24	game	4
92	25	of	2
92	26	love.	5
93	1	...	3
93	2	creates	7
93	3	a	1
93	4	visceral	8
93	5	sense	5
93	6	of	2
